id,source,author,title,description,url,published_at,content
1,ETF Daily News,MarketBeat News,"Wag! Group Co. (NASDAQ:PET) CTO Maziar Arjomand Sells 22,854 Shares","Wag! Group Co. (NASDAQ:PET – Get Free Report) CTO Maziar Arjomand sold 22,854 shares of Wag! Group stock in a transaction on Monday, May 20th. The stock was sold at an average price of $1.70, for a total value of $38,851.80. Following the sale, the chief tech…",https://www.etfdailynews.com/2024/05/22/wag-group-co-nasdaqpet-cto-maziar-arjomand-sells-22854-shares/,2024-05-22T10:26:43Z,"Wag! Group Co. (NASDAQ:PET – Get Free Report) CTO Maziar Arjomand sold 22,854 shares of Wag! Group stock in a transaction on Monday, May 20th. The stock was sold at an average price of $1.70, for a t… [+4362 chars]"
2,ETF Daily News,MarketBeat News,Haemonetics Co. (NYSE:HAE) EVP Josep Llorens Sells 822 Shares,"Haemonetics Co. (NYSE:HAE – Get Free Report) EVP Josep Llorens sold 822 shares of Haemonetics stock in a transaction dated Friday, May 17th. The stock was sold at an average price of $94.82, for a total transaction of $77,942.04. Following the completion of t…",https://www.etfdailynews.com/2024/05/22/haemonetics-co-nysehae-evp-josep-llorens-sells-822-shares/,2024-05-22T10:26:43Z,"Haemonetics Co. (NYSE:HAE – Get Free Report) EVP Josep Llorens sold 822 shares of Haemonetics stock in a transaction dated Friday, May 17th. The stock was sold at an average price of $94.82, for a to… [+5173 chars]"
3,ETF Daily News,MarketBeat News,Haemonetics Co. (NYSE:HAE) Insider Stewart W. Strong Sells 686 Shares,"Haemonetics Co. (NYSE:HAE – Get Free Report) insider Stewart W. Strong sold 686 shares of the stock in a transaction dated Monday, May 20th. The stock was sold at an average price of $95.11, for a total transaction of $65,245.46. Following the transaction, th…",https://www.etfdailynews.com/2024/05/22/haemonetics-co-nysehae-insider-stewart-w-strong-sells-686-shares/,2024-05-22T10:26:43Z,"Haemonetics Co. (NYSE:HAE – Get Free Report) insider Stewart W. Strong sold 686 shares of the stock in a transaction dated Monday, May 20th. The stock was sold at an average price of $95.11, for a to… [+5085 chars]"
4,AutoExpress,Ellis Hyde,First look: new Skoda Elroq electric SUV ready for autumn 2024 reveal,The compact electric SUV will be the first model to utilise Skoda’s new ‘Modern Solid’ design language,https://www.autoexpress.co.uk/skoda/363240/first-look-new-skoda-elroq-electric-suv-ready-autumn-2024-reveal,2024-05-22T10:26:42Z,"We recently published the first images of the all-new, all-electric Skoda Elroq undergoing testing, but the Czech brand clearly didnt think they were very flattering because its now provided us with … [+2038 chars]"
5,ETF Daily News,MarketBeat News,Haemonetics Co. (NYSE:HAE) EVP Josep Llorens Sells 987 Shares of Stock,"Haemonetics Co. (NYSE:HAE – Get Free Report) EVP Josep Llorens sold 987 shares of the business’s stock in a transaction dated Monday, May 20th. The shares were sold at an average price of $95.08, for a total value of $93,843.96. Following the sale, the execut…",https://www.etfdailynews.com/2024/05/22/haemonetics-co-nysehae-evp-josep-llorens-sells-987-shares-of-stock/,2024-05-22T10:26:42Z,"Haemonetics Co. (NYSE:HAE – Get Free Report) EVP Josep Llorens sold 987 shares of the business’s stock in a transaction dated Monday, May 20th. The shares were sold at an average price of $95.08, for… [+5296 chars]"
6,ETF Daily News,MarketBeat News,"Priority Technology Holdings, Inc. (NASDAQ:PRTH) Insider Sean Kiewiet Sells 21,100 Shares","Priority Technology Holdings, Inc. (NASDAQ:PRTH – Get Free Report) insider Sean Kiewiet sold 21,100 shares of the business’s stock in a transaction that occurred on Monday, May 20th. The shares were sold at an average price of $3.48, for a total transaction o…",https://www.etfdailynews.com/2024/05/22/priority-technology-holdings-inc-nasdaqprth-insider-sean-kiewiet-sells-21100-shares/,2024-05-22T10:26:42Z,"Priority Technology Holdings, Inc. (NASDAQ:PRTH – Get Free Report) insider Sean Kiewiet sold 21,100 shares of the business’s stock in a transaction that occurred on Monday, May 20th. The shares were … [+4515 chars]"
7,BusinessLine,BL Chennai Bureau,IIT Madras to house ‘Shell IITM Centre for Energy Research’ with focus on innovation,"The partnership will promote innovation, R&D & commercialization of technologies in the energy sector with key initiatives including the Shell Chair Professorship at IIT Madras",https://www.thehindubusinessline.com/info-tech/iit-madras-to-house-shell-iitm-centre-for-energy-research-with-focus-on-innovation/article68203146.ece,2024-05-22T10:26:21Z,"Indian Institute of Technology Madras (IIT Madras) Energy Consortium and Shell India have partnered to launch the Shell IITM Centre for Energy Research (SICER). The inauguration ceremony, which took … [+1081 chars]"
8,ETF Daily News,MarketBeat News,"Nasdaq, Inc. (NASDAQ:NDAQ) Shares Sold by Quadrant Capital Group LLC","Quadrant Capital Group LLC trimmed its holdings in shares of Nasdaq, Inc. (NASDAQ:NDAQ – Free Report) by 6.2% during the fourth quarter, according to the company in its most recent Form 13F filing with the Securities & Exchange Commission. The institutional i…",https://www.etfdailynews.com/2024/05/22/nasdaq-inc-nasdaqndaq-shares-sold-by-quadrant-capital-group-llc/,2024-05-22T10:24:42Z,"Quadrant Capital Group LLC trimmed its holdings in shares of Nasdaq, Inc. (NASDAQ:NDAQ – Free Report) by 6.2% during the fourth quarter, according to the company in its most recent Form 13F filing wi… [+7013 chars]"
9,Yahoo Entertainment,NULL,Summit host South Korea says world must cooperate on AI technology,NULL,https://consent.yahoo.com/v2/collectConsent?sessionId=1_cc-session_ad398d49-0fb9-421a-8940-8a20f35ddc54,2024-05-22T10:24:31Z,"If you click 'Accept all', we and our partners, including 238 who are part of the IAB Transparency &amp; Consent Framework, will also store and/or access information on a device (in other words, use … [+678 chars]"
10,Yahoo Entertainment,NULL,Summit host South Korea says world must cooperate on AI technology,NULL,https://consent.yahoo.com/v2/collectConsent?sessionId=1_cc-session_5d13157f-57cc-4256-94da-d6d744f7221d,2024-05-22T10:24:31Z,"If you click 'Accept all', we and our partners, including 238 who are part of the IAB Transparency &amp; Consent Framework, will also store and/or access information on a device (in other words, use … [+678 chars]"
